title,id,activity,creation,status
datetime: add ability to parse RFC 3339 dates and times,15873,2015-07-21.07:26:45,2012-09-06.21:08:49,1
Add MixedTypeKey to reprlib,18173,2015-07-21.07:23:46,2013-06-09.13:54:32,1
Scope for raise without argument is different in Python 2 and 3,23556,2015-07-21.07:23:29,2015-03-01.12:14:32,1
Add constants for ioctl request codes,22698,2015-07-21.07:22:52,2014-10-22.15:12:03,1
Memory corruption using pickle over pipe to subprocess,23655,2015-07-21.07:22:27,2015-03-13.06:47:14,1
Turn signal.SIG* constants into enums,21076,2015-07-21.07:22:03,2014-03-27.15:48:50,1
datetime module has no support for nanoseconds,15443,2015-07-21.07:19:24,2012-07-24.19:36:50,1
"zipfile.write, arcname should be allowed to be a byte string",10757,2015-07-21.07:19:00,2010-12-22.12:44:03,1
Loading 2 GiLOC file which raises exception causes wrong traceback,23354,2015-07-21.07:18:47,2015-01-31.03:40:41,1
docs about containers membership testing wrong for broken objects,23987,2015-07-21.07:18:17,2015-04-17.08:09:25,1
socket.type value changes after using settimeout(),21327,2015-07-21.07:17:49,2014-04-22.11:55:07,1
"sys.exit documents argument as ""integer"" but actually requires ""subtype of int""",14376,2015-07-21.07:16:47,2012-03-21.00:07:59,1
Behavior of large returncodes  (sys.exit(nn)),24045,2015-07-21.07:16:24,2015-04-24.00:47:08,1
"sys.exit(code) returns ""success"" to the OS for some nonzero values of code",24052,2015-07-21.07:15:43,2015-04-24.15:29:13,1
Free list for single-digits ints,24165,2015-07-21.07:15:25,2015-05-11.13:59:29,1
'%o' % user-defined instance,11145,2015-07-21.07:14:43,2011-02-07.18:46:33,1
Tracking issue for adjustments to binary/text boundary handling,22555,2015-07-21.07:12:57,2014-10-05.04:01:43,1
Enhance inspect.getdoc to follow inheritance chains,15582,2015-07-21.07:12:28,2012-08-08.02:52:13,1
Incorrect operand precedence when implementing sequences in C,11477,2015-07-21.07:12:07,2011-03-12.21:24:50,1
"functools.singledispatch fails when ""not BaseClass"" is True",23572,2015-07-21.07:11:45,2015-03-03.12:17:09,1
Add a macro to ease writing rich comparisons,23699,2015-07-21.07:11:01,2015-03-18.13:43:22,1
"Better expose closure, generator & coroutine status of functions",24056,2015-07-21.07:10:44,2015-04-25.06:13:53,1
__qualname__ and __slots__,24329,2015-07-21.07:10:25,2015-05-29.20:09:17,1
multiprocessing.Queue raises AssertionError,22872,2015-07-21.07:10:09,2014-11-14.17:34:48,1
"When cross-compiling, don’t try to execute binaries",22625,2015-07-21.07:09:45,2014-10-13.18:50:19,1
zipfile can't extract file,6839,2015-07-21.07:09:20,2009-09-04.19:56:49,1
Missing nested scope vars in class scope (bis),19979,2015-07-21.07:08:56,2013-12-13.21:31:17,1
Clarify the required behaviour of locals(),17960,2015-07-21.07:08:33,2013-05-12.07:46:47,1
Document the circumstances where the locals() dict get updated,17546,2015-07-21.07:08:12,2013-03-25.17:20:11,1
Add `Executor.filter` to concurrent.futures,24195,2015-07-21.07:07:46,2015-05-14.21:26:41,1
pathlib.(r)glob stops on PermissionDenied exception,24120,2015-07-21.07:07:21,2015-05-03.17:52:28,1
using custom objects as modules: AttributeErrors new in 3.5,24492,2015-07-21.07:05:36,2015-06-23.17:40:13,1
