title,id,activity,creation,status
Add timezone support to datetime C API,10381,2014-06-17.20:56:29,2010-11-10.18:49:04,1
"tempfile.py"", line 83,	in <module> once_lock = _allocate_lock() thread.error: can't allocat lock",21796,2014-06-17.20:13:17,2014-06-17.20:11:01,1
help() on enum34 enumeration class creates only a dummy documentation,21561,2014-06-17.19:12:26,2014-05-23.17:27:11,1
Make TestCase._formatMessage public,9976,2014-06-17.18:36:14,2010-09-28.20:14:42,1
urllib2 digest authentication doesn't work when connecting to a Catalyst server.,9714,2014-06-17.18:17:28,2010-08-30.11:54:15,1
Write documentation for codecs.readbuffer_encode(),8997,2014-06-17.18:02:08,2010-06-14.19:18:38,1
Python C/API Execution namespace undocumented. (patch included),9499,2014-06-17.17:59:17,2010-08-03.22:12:12,1
SimpleXMLRPCServer.SimpleXMLRPCServer.register_function as decorator,7769,2014-06-17.17:03:28,2010-01-24.12:48:44,1
[httplib] logging information for request is not pretty printed,19917,2014-06-17.15:36:25,2013-12-07.10:44:40,1
PyErr_PrintEx exits silently when passed SystemExit exception,10582,2014-06-17.13:27:44,2010-11-29.18:46:30,1
Default traceback does not handle PEP302 loaded modules,6682,2014-06-17.13:17:56,2009-08-11.14:26:29,1
test_fdopen: close failed in file object destructor,11100,2014-06-17.12:42:23,2011-02-02.16:41:58,1
__getitem__ and __setitem__ try to be smart when invoked with negative slice indices,21785,2014-06-17.08:05:14,2014-06-17.05:16:03,1
Idle: make 3.x  Hyperparser.get_expression recognize ...,21787,2014-06-17.06:58:02,2014-06-17.06:58:02,1
httplib.HTTPResponse documentations inconsistent,3430,2014-06-17.05:49:13,2008-07-22.17:31:20,1
Warn against using requires/provides/obsoletes in setup.py,1635217,2014-06-16.22:27:55,2007-01-14.15:09:04,1
datetime naive and aware types should have a well-defined definition that can be cross-referenced,8822,2014-06-16.21:53:00,2010-05-26.12:07:26,1
Menu deletecommand fails if command is already deleted,6270,2014-06-16.21:44:04,2009-06-11.21:09:39,1
"socket module missing IPPROTO_IPV6, IPPROTO_IPV4",6926,2014-06-16.21:38:24,2009-09-16.23:18:05,1
Add a function for updating URL query parameters,5877,2014-06-16.21:11:17,2009-04-29.13:32:13,1
2to3 fails for inner __metaclass__ class definition,11056,2014-06-16.20:39:12,2011-01-29.10:07:25,1
Apparent memory leak in PC/bdist_wininst/install.c,9456,2014-06-16.18:59:19,2010-08-02.20:45:41,1
"""universal newlines"" subprocess support broken with select- and poll-based communicate()",12623,2014-06-16.18:19:06,2011-07-23.20:11:32,1
distutils.upload uses the wrong order of exceptions,21776,2014-06-16.09:33:28,2014-06-16.09:33:28,1
singledispatch docs should explicitly mention support for abstract base classes,21767,2014-06-16.05:12:00,2014-06-15.04:00:26,1
CGIHTTPServer support for arbitrary CGI scripts,9008,2014-06-16.01:14:02,2010-06-16.10:13:43,1
No error checking after using of the wcsxfrm(),15954,2014-06-15.20:48:24,2012-09-17.10:14:33,1
"bug in 2to3 dealing with ""print FOO,"" followed by ""sys.stdout.write('')""",8029,2014-06-15.19:34:12,2010-02-27.23:08:40,1
BSDDB license missing from liscense page in 2.7.,14759,2014-06-15.18:24:23,2012-05-09.01:08:20,1
"Index ""code object"" and link to code object definition",15476,2014-06-15.18:20:29,2012-07-28.07:11:10,1
Tkinter does not find font,10118,2014-06-15.17:56:57,2010-10-16.01:30:28,1
Windows installer created with Python X.Y does not work with Python X.Y+1,4918,2014-06-15.17:15:57,2009-01-12.05:28:22,1
EmailMessage should support Header objects,21095,2014-06-15.15:11:59,2014-03-29.03:33:26,1
PEP 3121 refactoring applied to audioop module,15680,2014-06-15.15:03:08,2012-08-16.08:21:54,1
cookielib.http2time raises ValueError for invalid date.,16181,2014-06-15.14:36:30,2012-10-09.20:06:52,1
encoding package's normalize_encoding() function is too	slow,11322,2014-06-15.13:19:56,2011-02-25.15:55:31,1
Make it easy to create a new TextIOWrapper based on an existing,14017,2014-06-15.12:42:15,2012-02-14.23:49:33,1
Add __file__ attribute to frozen modules,21736,2014-06-15.09:22:27,2014-06-12.16:14:48,1
IDLE - ParenMatch fails to find closing paren of multi-line statements,21756,2014-06-15.07:32:09,2014-06-14.09:48:15,1
update the import machinery to only use __spec__,21762,2014-06-15.03:44:34,2014-06-14.21:33:51,1
Expand zipimport to include other compression methods,17004,2014-06-14.22:19:35,2013-01-20.18:41:42,1
language reference describes the role of module.__file__ inaccurately,21761,2014-06-14.20:35:11,2014-06-14.20:33:24,1
inspect documentation describes module type inaccurately,21760,2014-06-14.20:16:28,2014-06-14.19:58:13,1
inspect.getabsfile() is not documented,12317,2014-06-14.15:06:19,2011-06-11.19:18:14,1
glob.glob does not sort its results,21748,2014-06-14.08:43:47,2014-06-13.13:31:43,1
Compiler error when trying to compile ceval.c on OpenSUSE 11.3,16529,2014-06-13.22:57:19,2012-11-22.08:49:44,1
"regrtest checks (os.environ, sys.path, etc.) are hard to use",12314,2014-06-13.22:26:16,2011-06-10.16:19:09,1
Windows cmd.exe character escaping function,21753,2014-06-13.19:38:56,2014-06-13.19:10:48,1
pkgutil ImpLoader does not support frozen modules,21749,2014-06-13.17:34:58,2014-06-13.14:08:31,1
tkinter doc: more 3.x updates,7057,2014-06-13.16:16:12,2009-10-04.22:59:27,1
"compile error on HP-UX 11.22 ia64 - 'mbstate_t' is used	as a type, but has not been defined as a type",5999,2014-06-13.14:45:01,2009-05-11.21:24:33,1
"Add missing tests for FlushKey, LoadKey, and SaveKey in winreg",8579,2014-06-13.14:44:46,2010-04-30.18:02:29,1
passing optimization flags to the linker required for	builds with gcc -flto,8535,2014-06-13.14:39:24,2010-04-26.11:00:41,1
"In str.format an incorrect error message for list, tuple, dict, set",13790,2014-06-13.01:24:57,2012-01-15.05:31:18,1
socket.sendfile() should use TransmitFile on Windows,21721,2014-06-13.01:18:54,2014-06-11.13:59:08,1
smtplib: support for IDN (international domain names),20083,2014-06-12.20:23:23,2013-12-28.01:49:23,1
Concurrently closing files and iterating over the open files directory is not well specified,21627,2014-06-12.19:55:11,2014-06-01.17:22:33,1
argparse allows nargs>1 for positional arguments but doesn't allow metavar to be a tuple,14074,2014-06-12.18:40:24,2012-02-21.17:38:38,1
runpy.run_path() fails with frozen __main__ modules,21737,2014-06-12.16:54:49,2014-06-12.16:24:20,1
imghdr.what should take one argument,12516,2014-06-12.16:08:23,2011-07-07.19:56:45,1
Calendar Problem with Windows (XP),21731,2014-06-12.13:42:01,2014-06-12.11:38:21,1
locale.py resetlocale throws exception on Windows (getdefaultlocale returns value not usable in setlocale),10466,2014-06-12.13:33:31,2010-11-20.11:36:05,1
IDLE save keyboard shortcut problem,12387,2014-06-12.11:00:36,2011-06-22.17:59:58,1
tarfile doesn't overwrite symlink by directory,19974,2014-06-12.00:56:06,2013-12-13.11:59:08,1
tarfile: Traversal attack vulnerability,21109,2014-06-12.00:55:09,2014-03-31.08:14:19,1
Confusing error message when initialising type inheriting object.__init__,21728,2014-06-11.22:46:21,2014-06-11.22:06:57,1
Use sendfile where possible in httplib,13559,2014-06-11.12:57:54,2011-12-08.20:47:25,1
ftplib and sendfile(),13564,2014-06-11.12:29:03,2011-12-09.06:56:06,1
email parseaddr and formataddr should be IDNA aware,11783,2014-06-11.11:20:02,2011-04-06.14:12:00,1
IDLE: Test UndoDelegator,21703,2014-06-11.07:58:18,2014-06-10.10:08:31,1
Idle: polish htests,21624,2014-06-11.06:29:53,2014-06-01.04:41:10,1
IDLE: Dedenting with Shift+Tab,694339,2014-06-10.21:27:47,2003-02-27.13:08:54,1
Integer overflow in socketmodule,18564,2014-06-10.18:43:32,2013-07-26.17:59:05,1
"cgi.FieldStorage, multipart, missing Content-Length",20504,2014-06-10.17:17:06,2014-02-03.21:33:19,1
cgi.py: Multipart with more than one file is misparsed,21705,2014-06-10.13:47:09,2014-06-10.11:57:04,1
"Confusing ""see also"" for generic C-level __init__ methods in help output",21309,2014-06-10.13:12:55,2014-04-19.02:17:05,1
asyncio: remote_addr of create_datagram_endpoint() is not documented,21702,2014-06-10.07:35:33,2014-06-10.07:35:33,1
IDLE startup configuration,5594,2014-06-09.21:02:26,2009-03-29.07:20:09,1
Mercurial robots.txt should let robots crawl landing pages.,13924,2014-06-09.19:06:07,2012-02-01.22:29:55,1
read stuck with multithreading and simultaneous subprocess.Popen,12739,2014-06-09.15:28:14,2011-08-12.03:20:23,1
Save on Close windows (IDLE),17822,2014-06-09.00:27:10,2013-04-23.13:13:33,1
IDle: test textView.py,18910,2014-06-09.00:07:59,2013-09-03.01:56:46,1
argparse explodes with nargs='*' and a tuple metavar,21616,2014-06-09.00:05:42,2014-05-30.22:01:40,1
-b option undocumented,11681,2014-06-08.22:17:01,2011-03-26.00:53:45,1
"IDLE fails to ""Delete Custom Key Set"" properly",4765,2014-06-08.21:26:17,2008-12-29.04:38:39,1
Argparse needs better error handling for nargs,9849,2014-06-08.06:05:34,2010-09-13.23:25:11,1
Argparse exceptions should include which argument has a problem,21666,2014-06-08.06:03:05,2014-06-05.04:25:08,1
"Docs for ""Using Python on a Macintosh"" needs to be updated",12594,2014-06-07.23:26:46,2011-07-20.15:00:56,1
timeout sentinel in ftplib and poplib documentation,12706,2014-06-07.21:12:41,2011-08-07.08:33:00,1
"PEP 3121, 384 Refactoring applied to signal module",15707,2014-06-07.15:21:46,2012-08-16.21:19:26,1
Make statistics.median run in linear time,21592,2014-06-07.14:17:15,2014-05-28.12:11:37,1
"Idle unittests: make gui, mock switching easier.",21647,2014-06-07.00:38:07,2014-06-03.05:58:40,1
asyncio logging documentation clarifications,21443,2014-06-06.11:45:27,2014-05-05.20:19:57,1
asyncio docs should call out that network logging is a no-no,20847,2014-06-06.11:42:55,2014-03-03.20:12:20,1
asyncio.subprocess: connect pipes of two programs,21080,2014-06-06.11:41:52,2014-03-27.23:10:39,1
ld_so_aix not found,16189,2014-06-06.11:26:48,2012-10-10.15:52:40,1
"""Out of tree"" build fails on AIX",10656,2014-06-06.11:26:33,2010-12-09.03:35:03,1
parallel build race condition on AIX since python-3.2,19521,2014-06-06.11:08:26,2013-11-07.16:04:54,1
IDLE - Test Replace Dialog,21676,2014-06-06.06:36:35,2014-06-06.06:36:35,1
ipaddress.IPv4Address.is_global not implemented,21386,2014-06-06.06:26:12,2014-04-29.11:35:35,1
Idle: Add 'find all' in current file,21674,2014-06-05.20:40:32,2014-06-05.20:40:32,1
Idle: hilite search terms in hits in Find in Files output window,21673,2014-06-05.20:09:58,2014-06-05.20:09:58,1
"__m128, can't build 3.4.1 with intel 14.0.0",21658,2014-06-05.15:14:46,2014-06-04.09:30:55,1
"Substitute @TOKENS@ from sysconfig variables, for python-config and python.pc",21660,2014-06-04.13:35:41,2014-06-04.12:51:32,1
pip.get_installed_distributions() Does not return packages in the current working directory,21657,2014-06-04.07:44:18,2014-06-04.07:43:55,1
readline fails to parse some forms of .editrc under editline (libedit) emulation on Mac OS X,13631,2014-06-04.00:31:30,2011-12-19.04:05:36,1
Add a help() viewer for IDLE's Shell.,13659,2014-06-03.15:59:34,2011-12-24.06:23:34,1
urllib urlopener leaves open sockets for FTP connection,21648,2014-06-03.12:36:53,2014-06-03.09:03:17,1
"Mention ""Recommendations for Secure Use of TLS and DTLS""",21649,2014-06-03.09:09:57,2014-06-03.09:09:57,1
ld_so_aix not used when linking c++ (scipy),17454,2014-06-03.08:15:36,2013-03-18.08:27:28,1
use _sysconfigdata to itinialize distutils.sysconfig,21272,2014-06-03.08:13:57,2014-04-16.22:12:08,1
argparse add_mutually_exclusive_group should accept existing arguments to register conflicts,10984,2014-06-03.05:44:01,2011-01-22.23:01:55,1
Argparse does not propagate HelpFormatter class to subparsers,21633,2014-06-02.22:35:56,2014-06-01.23:32:36,1
'!s' formatting documentation bug,21547,2014-06-02.18:19:55,2014-05-21.06:39:19,1
"Improve docs for string interpolation ""%s"" re Unicode strings",9196,2014-06-02.18:19:11,2010-07-08.07:07:08,1
Inconsistency in overflow error messages of integer argument,15988,2014-06-02.17:27:47,2012-09-20.18:51:09,1
cannot create multipart alternative message with us-ascii charset,21567,2014-06-02.17:20:22,2014-05-23.22:59:43,1
test___all_ + test_tcl fails (Windows installed binary),10652,2014-06-02.16:18:29,2010-12-08.14:39:57,1
"AIX, crash loading shared module into another process than python like operator.so results in 0509-130",14150,2014-06-02.15:09:25,2012-02-28.13:06:08,1
Import error with embedded python on AIX 6.1,13493,2014-06-02.15:01:25,2011-11-28.11:29:13,1
Cannot run gui tests twice.,20800,2014-06-02.14:40:30,2014-02-28.00:06:01,1
Idle: test configHelpSourceEdit,20640,2014-06-02.11:37:49,2014-02-16.15:08:45,1
Disabling logging to ~/.python_history is not simple enough,20886,2014-06-01.20:08:35,2014-03-10.20:30:35,1
Idle: sychronize text files across versions as appropriate.,21632,2014-06-01.20:04:08,2014-06-01.20:04:08,1
-W command line options and PYTHONWARNINGS environmental variable should not override -b / -bb command line options,20361,2014-06-01.15:28:24,2014-01-23.09:19:49,1
IDLE:Improvements- Improving Mock_Text,18504,2014-06-01.14:44:35,2013-07-19.13:00:52,1
Add options width and compact to pickle cli,21626,2014-06-01.14:23:33,2014-06-01.14:10:35,1
ctypes.util incorrectly fails for libraries without DT_SONAME,21622,2014-06-01.03:28:22,2014-06-01.03:28:22,1
Add note to 3.x What's New re Idle changes in bugfix releases,21621,2014-05-31.20:03:08,2014-05-31.20:03:08,1
Installer for mac doesn't store the installation location,21613,2014-05-31.05:34:28,2014-05-30.14:57:00,1
Provide configure option --with-ssl for compilation with custom openssl,21541,2014-05-31.04:51:53,2014-05-20.13:46:54,1
importlib reload can fail with AttributeError if module removed from sys.path,21617,2014-05-31.01:56:36,2014-05-31.01:56:36,1
Curses bug report for Python 2.7 and Python 3.2,21615,2014-05-30.20:02:03,2014-05-30.20:02:03,1
Help for ImportError should show a more useful signature.,21577,2014-05-30.19:52:44,2014-05-26.04:27:28,1
pydoc doesn't find all module doc strings,1185124,2014-05-30.10:24:40,2005-04-18.12:18:39,1
urllib.request.urlopen does not handle non-ASCII characters,3991,2014-05-29.01:21:55,2008-09-28.18:47:16,1
"Make argparse.SUPPRESS work as an argument ""dest""",20430,2014-05-28.21:29:48,2014-01-29.02:52:34,1
Python doesn't exit with proper resultcode on SIGINT,1054041,2014-05-28.20:04:04,2004-10-25.20:27:22,1
argparse has problem parsing option files containing empty rows,10523,2014-05-28.04:37:30,2010-11-24.21:47:39,1
configparser accepts keys beginning with comment_chars when writing,21498,2014-05-27.06:56:17,2014-05-13.14:47:29,1
support multi-line docstring signatures in IDLE calltips,16638,2014-05-27.06:05:53,2012-12-07.19:49:36,1
Segv during call to builtin_execfile in application embedding Python interpreter.,21563,2014-05-26.19:39:05,2014-05-23.19:00:35,1
Improve indexing of syntax symbols,21054,2014-05-26.16:15:43,2014-03-24.23:26:18,1
_findLib_crle and _get_soname broken on latest SunOS 5.11,20664,2014-05-26.08:30:03,2014-02-17.20:25:40,1
help('FILES') finds no documentation,18918,2014-05-25.10:13:33,2013-09-04.04:40:20,1
os.statvfs() not working well with unicode paths,18695,2014-05-24.20:50:17,2013-08-09.12:06:43,1
Add Python implementation of the tar utility,21550,2014-05-24.20:03:48,2014-05-21.10:49:13,1
Inconsistent behavior in pdb when pressing Ctrl-C,20269,2014-05-24.13:33:50,2014-01-15.09:28:52,1
curses writing to window's bottom right position raises: `_curses.error: addstr() returned ERR',8243,2014-05-24.12:10:27,2010-03-27.05:01:07,1
OS X test for Tk availability in runtktests.py doesn't work,17496,2014-05-24.07:31:16,2013-03-20.19:50:05,1
Declaration of EVP_MD_CTX causes crash when switching between OpenSSL 0.9 and 1.0,21564,2014-05-23.21:14:02,2014-05-23.20:45:51,1
Idle: updata fixwordbreaks() for unicode identifiers,21474,2014-05-23.19:33:22,2014-05-12.01:27:43,1
"pdb ""args"" crashes when an arg is not printable",20853,2014-05-23.15:08:10,2014-03-05.10:45:57,1
try to use hashtable in pickle,21556,2014-05-23.09:26:44,2014-05-22.20:55:07,1
Loading -OO bytecode files if -O was requested can lead to problems,19531,2014-05-22.22:13:27,2013-11-09.05:57:27,1
Unloading docstrings from memory if -OO is given,19533,2014-05-22.22:09:30,2013-11-09.06:54:19,1
assertGdbRepr depends on hash randomization / endianess,19463,2014-05-22.21:55:29,2013-10-31.18:53:22,1
m68k Python 3.3 test results,18061,2014-05-22.21:45:36,2013-05-25.20:55:04,1
"PATH_MAX vs MAXPATHLEN vs pathconf(..., _PC_PATH_MAX).",16442,2014-05-22.21:41:42,2012-11-08.16:48:46,1
"Add env vars for controlling building sqlite, hashlib and ssl",5575,2014-05-20.13:29:49,2009-03-26.21:07:58,1
json.load fails to read UTF-8 file with (BOM) Byte Order Marks,21509,2014-05-19.22:33:07,2014-05-14.20:32:52,1
cannot decode from or encode to big5 \xf9\xd8,7856,2014-05-19.17:50:57,2010-02-05.05:07:48,1
Add the @cached_property decorator,21145,2014-05-18.22:40:23,2014-04-03.10:28:52,1
Missing network resource checks in test_urllib2 & test_smtplib,20483,2014-05-18.20:47:11,2014-02-02.04:59:35,1
Allowing to pass pathlib.Path object in mimetypes.guess_type function,21524,2014-05-18.13:20:26,2014-05-18.13:20:26,1
Tkinter + OSX + Spaces : Multiple file dialogues created,21521,2014-05-18.09:17:54,2014-05-18.08:55:40,1
subprocess: move shell arguments to a separate keyword param,13197,2014-05-16.05:55:22,2011-10-17.11:41:11,1
Having a shlex example in the subprocess.Popen docs is confusing,13826,2014-05-16.05:54:47,2012-01-19.14:25:14,1
json.dump() ignores its 'default' option when serializing dictionary keys,18820,2014-05-16.04:31:09,2013-08-23.10:30:29,1
C API PyArg_ParseTuple doc is innacurate,21508,2014-05-16.00:46:32,2014-05-14.14:33:43,1
Windows MSI installer should mklink (symlink) python.exe to python2.7.exe,21506,2014-05-14.20:32:52,2014-05-14.11:36:10,1
Automatically regenerate platform-specific modules,12619,2014-05-14.18:09:26,2011-07-23.09:43:32,1
HPUX: Unable to fork() in thread,16533,2014-05-14.15:10:45,2012-11-22.22:18:32,1
Problem with tempfile.NamedTemporaryFile,4928,2014-05-14.11:45:43,2009-01-13.09:22:45,1
multiprocessing.Queue does not order objects,4999,2014-05-14.11:45:03,2009-01-19.12:57:24,1
SocketServer should set SO_REUSEPORT along with SO_REUSEADDR when present,16594,2014-05-14.10:51:31,2012-12-02.09:07:29,1
Python docs reference the Distribute package which has been deprecated in favor of Setuptools,21034,2014-05-14.07:37:05,2014-03-23.08:48:39,1
Exiting Python REPL prompt with user without home directory throws error in atexit._run_exitfuncs,19891,2014-05-13.23:06:07,2013-12-05.04:22:10,1
Cross-compiling Python,5404,2014-05-13.22:24:58,2009-03-02.09:03:47,1
Python 64-bit build on HP Itanium - Executable built successfully but modules failed with HP Compiler,12991,2014-05-13.22:21:37,2011-09-16.11:42:59,1
panel.h is not found even if it's installed on various flavours of SUSE,12271,2014-05-13.22:20:25,2011-06-06.13:00:37,1
optimize compilation options,17781,2014-05-13.22:19:17,2013-04-17.18:40:08,1
BASECFLAGS are not passed to module build line,969718,2014-05-13.22:17:16,2004-06-09.15:56:47,1
POSIX capabilities support,1615158,2014-05-13.22:12:23,2006-12-13.18:10:43,1
Limiting data copy in xmlrpclib,1747670,2014-05-13.22:11:17,2007-07-04.09:54:37,1
Enable all freebsd* host platforms,19554,2014-05-13.22:00:53,2013-11-11.12:29:49,1
Improve ./configure's support for 32/64-bit debug|release|profiled builds w/ vendor (non-gcc) compilers	on proprietary UNIX systems (Solaris/HP-UX/AIX et al).,15963,2014-05-13.21:59:49,2012-09-18.13:40:35,1
./configure --with-pydebug on FreeBSD results in -O2 -pipe eventually ending up in CFLAGS.,15757,2014-05-13.21:58:01,2012-08-21.21:29:40,1
test_ctypes fails on Solaris 10 SPARC 2.7 (nitrogen/s10)	(Sun C compiler),16275,2014-05-13.21:57:39,2012-10-18.09:24:48,1
configure incorrectly adds -OPT:Olimit=0 for clang,16721,2014-05-13.21:56:59,2012-12-18.22:08:17,1
"PEP 3121, 384 Refactoring applied to random module",15668,2014-05-13.21:55:06,2012-08-15.14:10:36,1
2.7.2 64-bit Windows library has __impt_Py* for several symbols instead of __imp__Py*,14141,2014-05-13.21:52:58,2012-02-27.16:32:31,1
test_bufio failures on Win64 buildbot,15192,2014-05-13.21:51:03,2012-06-26.12:53:28,1
Add /usr/sfw/lib to OpenSSL search path for Solaris.,7836,2014-05-13.21:45:50,2010-02-02.09:55:03,1
"PyOS_Readline: treatment of ""1234EOF""; behavior of builtin_raw_input",6467,2014-05-13.21:44:58,2009-07-12.11:57:24,1
XATTR_SIZE_MAX and XATTR_LIST_MAX undefined on kfreebsd/debian with eglibc,13669,2014-05-13.21:42:05,2011-12-28.13:25:14,1
PA-RISC buildbot: compiler cannot create executables,20051,2014-05-13.21:39:29,2013-12-22.21:16:32,1
Online docs: make index search always available.,15871,2014-05-13.21:36:43,2012-09-06.17:14:26,1
submitting mmap example for use in documentation,21501,2014-05-13.20:13:23,2014-05-13.19:18:53,1
wave.py: add writesamples() and readsamples(),4913,2014-05-13.11:14:33,2009-01-11.02:16:42,1
test_syntax_error fails when run in the installed location,17756,2014-05-13.09:32:39,2013-04-16.11:32:39,1
get_versions() in cygwinccomiler.py cannot return correct gcc version,21482,2014-05-12.19:05:23,2014-05-12.16:09:00,1
replacing obj.__dict__ with a subclass of dict,1475692,2014-05-12.17:59:55,2006-04-24.17:45:28,1
Add a key parameter to PriorityQueue,17794,2014-05-12.17:58:31,2013-04-19.00:37:22,1
Author of EPUB version of Python docs is set to Unknown instead of PSF,20969,2014-05-12.16:10:09,2014-03-18.14:34:09,1
multiprocessing.pool.AsyncResult.get() messes up exceptions,9400,2014-05-12.13:57:03,2010-07-28.16:03:40,1
Minor struct_time documentation bug,21221,2014-05-12.09:29:13,2014-04-14.18:29:20,1
Support the Sitemap and Crawl-delay extensions in robotparser,21475,2014-05-12.09:26:56,2014-05-12.01:35:57,1
NUL bytes in commented lines,20115,2014-05-12.09:24:52,2014-01-03.17:59:13,1
Idle: test startup scripts.,21473,2014-05-12.00:32:12,2014-05-12.00:32:12,1
subprocess line-buffering only works in universal newlines mode,21471,2014-05-11.12:20:06,2014-05-11.11:25:06,1
Optimize str.translate() for replacement with substrings and non-ASCII strings,21165,2014-05-10.19:43:26,2014-04-07.09:10:44,1
incorrect comments in nturl2path.py,21160,2014-05-10.19:35:07,2014-04-05.10:45:36,1
NetBSD curses support improvements,21457,2014-05-09.21:56:36,2014-05-09.08:58:00,1
argparse subparser usage message hides main parser usage,20333,2014-05-09.21:27:37,2014-01-21.16:46:08,1
test_multiprocessing is broken by design,20934,2014-05-09.17:25:31,2014-03-15.08:38:55,1
Context of documentation for conditional expressions,20859,2014-05-09.12:55:56,2014-03-06.18:48:00,1
Ambiguity words in base64 documentation,20837,2014-05-09.12:49:13,2014-03-02.23:38:20,1
Recognize -pthread,21461,2014-05-09.09:16:03,2014-05-09.09:16:03,1
Support of RPM subpackages in distutils,21453,2014-05-08.17:42:00,2014-05-08.17:42:00,1
test_compileall fails to build in the installed location,21264,2014-05-07.22:01:04,2014-04-16.18:59:40,1
relative symlinks in tarfile.extract broken (windows),13702,2014-05-07.11:49:09,2012-01-03.16:42:43,1
Printing: No print dialog or page setup,1528593,2014-05-06.17:22:51,2006-07-25.19:49:23,1
Signal module doesnt raises ValueError Exception,21382,2014-05-06.16:59:17,2014-04-29.08:17:16,1
Update reload fixer to use importlib instead of imp,21446,2014-05-06.14:24:18,2014-05-06.09:51:39,1
Improve reporting of broken stdout pipe during interpreter shutdown,11380,2014-05-06.00:37:12,2011-03-03.01:32:45,1
inspect.findsource raises IndexError,17735,2014-05-05.20:15:39,2013-04-15.12:52:19,1
"platform.system() should be ""macosx"" instead of ""Darwin"" on OSX",7850,2014-05-05.07:49:29,2010-02-03.22:40:10,1
CPython setup.py problems,18255,2014-05-04.18:35:56,2013-06-18.13:13:06,1
dbmmodule inquiry function is performance prohibitive,2159,2014-05-04.15:01:48,2008-02-22.00:41:14,1
improve documentation indexing,21352,2014-05-03.13:57:07,2014-04-25.20:27:40,1
argparse doesn't allow optionals within positionals,14191,2014-05-03.01:23:26,2012-03-04.06:36:30,1
urllib.request.urlopen dies on non-basic/digest auth schemes,21413,2014-05-02.18:09:58,2014-05-01.23:03:33,1
Unclear language in __main__ description,15104,2014-05-02.08:23:25,2012-06-19.08:02:44,1
argparse: Problem with defaults for variable nargs when using choices,9625,2014-05-02.02:04:07,2010-08-17.09:19:03,1
setup.py check --restructuredtext  -- appears to pass if docutils not installed,21410,2014-05-01.20:27:29,2014-05-01.20:27:29,1
setup.py check - should fail and retrun a non 0 exit code,21409,2014-05-01.20:08:35,2014-05-01.20:07:11,1
cElementTree's Element creation handles attrib argument different from ET,21403,2014-05-01.15:52:30,2014-04-30.20:58:00,1
readline: setlocale() returns NULL on Android,21390,2014-04-30.09:56:09,2014-04-30.07:33:43,1
Python 3.4+ interpreter built on/with OS X 10.7 deployment target segfaults on 10.8+,21381,2014-04-30.07:30:15,2014-04-29.01:27:38,1
shutil.make_archive should recognize extensions in filenames,19214,2014-04-29.22:35:47,2013-10-10.08:50:37,1
DEBUGGING: Simultaneous stopping of all threads on breakpoint and switching between threads,21281,2014-04-29.22:17:40,2014-04-17.08:52:07,1
[msilib] Obscure exception message when trying to open a non-existent MSI database,12382,2014-04-29.21:09:12,2011-06-21.12:12:16,1
put opcode information in one place,17861,2014-04-29.08:46:51,2013-04-28.15:14:49,1
"PyGen_NeedsFinalizing is public, but undocumented",15088,2014-04-29.00:04:07,2012-06-17.04:21:01,1
Minor increase to Pickle test coverage,18400,2014-04-28.23:45:02,2013-07-08.05:04:38,1
enable more ssl socket options with get_server_certificate,18616,2014-04-28.23:43:11,2013-08-01.15:56:02,1
robotparser: Automatically call modified function in read(),21373,2014-04-28.12:55:25,2014-04-28.12:55:25,1
Enhance obmalloc allocation strategy,21220,2014-04-28.09:42:20,2014-04-14.18:23:06,1
Remove assertion-based checking in multiprocessing,5001,2014-04-28.00:15:49,2009-01-19.16:32:42,1
Document that unittest.TestCase.__init__ is called once per test,19950,2014-04-27.09:59:39,2013-12-10.22:34:18,1
time.sleep (floatsleep()) should use clock_nanosleep() on Linux,21302,2014-04-27.00:36:47,2014-04-18.20:12:03,1
IDLE Redo command accelerator acts as Undo with current OS X Cocoa Tk 8.5.15,21359,2014-04-26.21:57:06,2014-04-26.21:52:44,1
distutils should check PyPI certs when connecting to it,20050,2014-04-25.22:22:37,2013-12-22.00:52:05,1
test_grp & test_pwd fail,1465646,2014-04-25.14:56:14,2006-04-06.10:57:57,1
argparse: suggestion for formatting optional positional args,11708,2014-04-25.05:25:45,2011-03-29.04:21:10,1
C API in debug fails,21292,2014-04-25.03:26:58,2014-04-17.21:51:18,1
PyDoc Partial Functions,12154,2014-04-24.05:57:03,2011-05-23.09:15:31,1
"sys.path is incorrect when prefix is """"",7757,2014-04-24.05:49:02,2010-01-22.16:46:14,1
email.errors.HeaderParseError if base64url is used,12489,2014-04-24.01:59:48,2011-07-04.14:38:19,1
dbhash/bsddb leaks random memory fragments to a database,21324,2014-04-23.23:33:33,2014-04-21.19:54:44,1
add exist_ok to shutil.copytree,20849,2014-04-23.19:36:59,2014-03-04.04:55:21,1
Document recommended exception for objects that shouldn't be pickled,21333,2014-04-23.13:24:41,2014-04-23.05:57:14,1
"argparse optionals with nargs='?', '*' or '+' can't be followed by positionals",9338,2014-04-23.11:40:03,2010-07-23.10:46:27,1
Standard library trace module crashes with exception,21251,2014-04-23.11:26:09,2014-04-16.12:42:17,1
Resize doesn't change reported length on create_string_buffer(),21328,2014-04-22.16:12:26,2014-04-22.14:02:29,1
Attaching a PropertyMock records calls,21255,2014-04-22.14:15:43,2014-04-16.16:19:15,1
